date,description,amount,category
2023-01-01,Grocery shopping at Walmart,85.50,food
2023-01-02,Gas station fill up,40.00,transport
2023-01-03,Dinner at Italian restaurant,70.00,food
2023-01-04,Online Amazon purchase,95.00,shopping
2023-01-05,Coffee shop latte,6.00,food
2023-01-06,Bus ticket,3.00,transport
2023-01-07,Supermarket groceries,82.00,food
2023-01-08,Electricity bill,90.00,utilities
2023-01-09,Netflix subscription,15.99,entertainment
2023-01-10,Pharmacy prescription,25.00,health
2023-01-11,Gas for car,42.00,transport
2023-01-12,Lunch at cafe,14.00,food
2023-01-13,Clothing store purchase,70.00,shopping
2023-01-14,Water bill,30.00,utilities
2023-01-15,Movie tickets,25.00,entertainment
2023-01-16,Grocery delivery,55.00,food
2023-01-17,Taxi ride,20.00,transport
2023-01-18,Bookstore purchase,24.00,shopping
2023-01-19,Gym membership,50.00,health
2023-01-20,Dinner out,60.00,food
2023-01-21,Car maintenance,90.00,transport
2023-01-22,Home supplies,40.00,shopping
2023-01-23,Cable TV bill,55.00,entertainment
2023-01-24,Pharmacy items,20.00,health
2023-01-25,Grocery store purchase,85.00,food
2023-01-26,Gas station,38.00,transport
2023-01-27,Restaurant meal,65.00,food
2023-01-28,Online electronics,95.00,shopping
2023-01-29,Coffee and pastry,9.00,food
2023-01-30,Train ticket,22.00,transport
2023-01-31,Mobile recharge,45.00,utilities

2023-02-01,Supermarket groceries,88.00,food
2023-02-02,Ola auto ride,35.00,transport
2023-02-03,Restaurant lunch,68.00,food
2023-02-04,Online clothing purchase,92.00,shopping
2023-02-05,Bakery breakfast,12.00,food
2023-02-06,Bus ticket,4.00,transport
2023-02-07,Electricity bill,92.00,utilities
2023-02-08,Amazon pantry order,85.00,shopping
2023-02-09,Prime Video subscription,16.00,entertainment
2023-02-10,Pharmacy purchase,24.00,health
2023-02-11,Petrol refill,41.00,transport
2023-02-12,Lunch at restaurant,66.00,food
2023-02-13,Shoe purchase,88.00,shopping
2023-02-14,Dinner out,72.00,food
2023-02-15,Water bill,32.00,utilities
2023-02-16,Movie theatre ticket,26.00,entertainment
2023-02-17,Gym membership,50.00,health
2023-02-18,Taxi ride,23.00,transport
2023-02-19,Online book purchase,28.00,shopping
2023-02-20,Vegetables purchase,40.00,food
2023-02-21,Broadband bill,60.00,utilities
2023-02-22,Restaurant snacks,18.00,food
2023-02-23,Medical checkup,35.00,health
2023-02-24,Stationery purchase,20.00,shopping
2023-02-25,Petrol refill,39.00,transport
2023-02-26,Netflix subscription,16.00,entertainment
2023-02-27,Grocery store purchase,83.00,food
2023-02-28,Auto ride,18.00,transport

2023-03-01,Grocery shopping,87.00,food
2023-03-02,Metro ticket,25.00,transport
2023-03-03,Online gadget accessory,90.00,shopping
2023-03-04,Cafe latte,8.00,food
2023-03-05,Ola cab ride,37.00,transport
2023-03-06,Electricity bill,93.00,utilities
2023-03-07,Pharmacy purchase,22.00,health
2023-03-08,Amazon purchase,85.00,shopping
2023-03-09,Movie tickets,24.00,entertainment
2023-03-10,Restaurant meal,64.00,food
2023-03-11,Petrol refill,43.00,transport
2023-03-12,Grocery order,88.00,food
2023-03-13,Clothing purchase,92.00,shopping
2023-03-14,Water bill,30.00,utilities
2023-03-15,Yoga class fee,40.00,health
2023-03-16,Coffee and sandwich,10.00,food
2023-03-17,Taxi ride,21.00,transport
2023-03-18,Home decor purchase,42.00,shopping
2023-03-19,OTT subscription,16.00,entertainment
2023-03-20,Fruits purchase,35.00,food
2023-03-21,Internet bill,58.00,utilities
2023-03-22,Pharmacy items,23.00,health
2023-03-23,Online shoe purchase,94.00,shopping
2023-03-24,Auto ride,19.00,transport
2023-03-25,Restaurant lunch,67.00,food
2023-03-26,Game subscription,17.00,entertainment
2023-03-27,Bus ticket,4.00,transport
2023-03-28,Home supplies purchase,36.00,shopping
2023-03-29,Supermarket groceries,84.00,food
2023-03-30,Electricity bill,91.00,utilities
2023-03-31,Medical consultation,30.00,health
